Date,Time,AI Output,Weather
2026-02-08,09:30:43,"Chunk 0 from recording_20260208_093034.wav: [(4862, 'Power tools_Power tools', 0.20570686), (184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.12148553), (2143, 'Engine_Engine', 0.04386242), (2325, 'Fireworks_Fireworks', 0.020866312), (2818, 'Human non-vocal_Human non-vocal', 0.01650923)]",
2026-02-08,09:31:12,"Chunk 0 from recording_20260208_093104.wav: [(184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.27103958), (4862, 'Power tools_Power tools', 0.25523013), (2143, 'Engine_Engine', 0.06589339), (2609, 'Gun_Gun', 0.043032285), (2325, 'Fireworks_Fireworks', 0.021809092)]",
2026-02-08,09:31:31,"Chunk 0 from recording_20260208_093122.wav: [(4862, 'Power tools_Power tools', 0.2844155), (2143, 'Engine_Engine', 0.15976912), (184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.056021012), (2609, 'Gun_Gun', 0.049450714), (2819, 'Human vocal_Human vocal', 0.015257568)]",
2026-02-08,09:31:37,"Chunk 0 from recording_20260208_093128.wav: [(4862, 'Power tools_Power tools', 0.20334753), (2143, 'Engine_Engine', 0.056021288), (184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.030788058), (2609, 'Gun_Gun', 0.02863357), (2818, 'Human non-vocal_Human non-vocal', 0.011531101)]",
2026-02-08,09:31:41,"Chunk 0 from recording_20260208_093134.wav: [(184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.23440297), (4862, 'Power tools_Power tools', 0.18453732), (2143, 'Engine_Engine', 0.059523705), (2609, 'Gun_Gun', 0.030749027), (97, 'Aegolius funereus_Boreal Owl', 0.02210179)]",
2026-02-08,09:31:53,"Chunk 0 from recording_20260208_093146.wav: [(184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.2853535), (4862, 'Power tools_Power tools', 0.068566464), (2143, 'Engine_Engine', 0.041128945), (4979, 'Psilopogon haemacephalus_Coppersmith Barbet', 0.026452644), (1799, 'Cygnus buccinator_Trumpeter Swan', 0.018589312)]",
2026-02-08,09:32:06,"Chunk 0 from recording_20260208_093158.wav: [(184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.31565624), (4862, 'Power tools_Power tools', 0.0737085), (4965, 'Pseudotriccus ruficeps_Rufous-headed Pygmy-Tyrant', 0.034805447), (2143, 'Engine_Engine', 0.019795777), (4607, 'Picoides tridactylus_Eurasian Three-toed Woodpecker', 0.019672671)]",
2026-02-08,09:32:13,"Chunk 0 from recording_20260208_093204.wav: [(4862, 'Power tools_Power tools', 0.23490569), (2143, 'Engine_Engine', 0.124584064), (184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.089878894), (2609, 'Gun_Gun', 0.03313346), (4607, 'Picoides tridactylus_Eurasian Three-toed Woodpecker', 0.018608222)]",
2026-02-08,09:33:01,"Chunk 0 from recording_20260208_093252.wav: [(184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.21093056), (4862, 'Power tools_Power tools', 0.09129917), (2143, 'Engine_Engine', 0.028667642), (5560, 'Siren_Siren', 0.023051048), (743, 'Bubo bubo_Eurasian Eagle-Owl', 0.011620713)]",
2026-02-08,09:33:23,"Chunk 0 from recording_20260208_093317.wav: [(184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.23444398), (4862, 'Power tools_Power tools', 0.09776725), (2143, 'Engine_Engine', 0.030960795), (2325, 'Fireworks_Fireworks', 0.023742553), (2609, 'Gun_Gun', 0.015525629)]",
2026-02-08,09:33:30,"Chunk 0 from recording_20260208_093323.wav: [(184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.24948554), (4862, 'Power tools_Power tools', 0.058243945), (2143, 'Engine_Engine', 0.018999618), (2609, 'Gun_Gun', 0.009164156), (5760, 'Strix aluco_Tawny Owl', 0.008540789)]",
2026-02-08,09:34:56,"Chunk 0 from recording_20260208_093447.wav: [(184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.22448497), (4862, 'Power tools_Power tools', 0.18353108), (2609, 'Gun_Gun', 0.05009223), (2143, 'Engine_Engine', 0.040072195), (2819, 'Human vocal_Human vocal', 0.038731262)]",
